id,businessName,contactName,email,phone,website,location,category,source,sourceUrl,description,rating,reviewCount,status,priority,notes,assignedTo,createdAt
6dd606a5-6be1-4313-ae9c-1aa2f2ed3a4a,Detailed FreeCAD EDC Carabiner Body Modelling,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/3d-design/detailed-freecad-edc-carabiner-body,,,,New,High,Budget: $34 - $286,,2026-07-10T15:54:36.652257
952f2c07-da4a-4f24-927a-0d946cc3497f,"On site address verification Coventry,UK",,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/photography/site-address-verification-coventry,,,,New,High,Budget: $50 - $60,,2026-07-10T15:54:36.652947
9627ce9c-1a3e-476c-a34c-259af7c0186b,Adult services ads running in gulf countries,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/advertising/adult-services-ads-running-gulf,,,,New,High,Budget: $132Avg Bid,,2026-07-10T15:54:36.653497
acdce1b1-9c93-4908-9305-0277b343d24c,Sales Agent Required in Malaysia (clothing),,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/retail-sales/sales-agent-required-malaysia-clothing,,,,New,High,Budget: $391Avg Bid,,2026-07-10T15:54:36.654128
e40a0157-a130-406f-9cbd-e7623356b45b,Improve Leadership Team Communication,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/project-management/improve-leadership-team-communication,,,,New,High,Budget: $10 / hrAvg Bid,,2026-07-10T15:54:36.654697
ca6fb63a-6158-4381-b215-2dc0bc6d5fe3,Russian Travel Blog Translation,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/articles/russian-travel-blog-translation,,,,New,High,Budget: $293Avg Bid,,2026-07-10T15:54:36.655323
f8cf32a7-9b51-4c7e-aa76-300e997b3360,"Tally Prime Accounting & bank reconciliation, typing",,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/accounting/tally-prime-accounting-bank,,,,New,High,Budget: $131Avg Bid,,2026-07-10T15:54:36.655917
89bae839-381f-4fae-9387-78ca55b7bbea,Redesign St. Joseph's Website,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/web-design/redesign-joseph-website,,,,New,High,Budget: $69Avg Bid,,2026-07-10T15:54:36.656556
fce56611-8498-4ec5-80a0-a5348a3bf847,Safety Buddy Personal Emergency App Development,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/android/safety-buddy-personal-emergency-app,,,,New,High,Budget: $251Avg Bid,,2026-07-10T15:54:36.657185
32e6972c-0cec-4a08-840f-8fe4ec2faf24,Fusion 360 Electrical Design Error Correction,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/fusion-360/fusion-electrical-design-error,,,,New,High,Budget: $404Avg Bid,,2026-07-10T15:54:36.657762
