id,businessName,contactName,email,phone,website,location,category,source,sourceUrl,description,rating,reviewCount,status,priority,notes,assignedTo,createdAt
c21e67db-7f2b-4ee7-99cc-d652afa89f88,Full Stack Software Developer Needed,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/full-stack-development/full-stack-software-developer-needed-40573563,,,,New,High,Budget: $49 / hrAvg Bid,,2026-07-10T13:35:33.802733
f71ed079-d42c-4209-9087-dfe6db35af42,PCB Layout & Gerber Files,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/circuit-design/pcb-layout-gerber-files,,,,New,High,Budget: $1 - $4 / hr,,2026-07-10T13:35:33.803260
058b9caa-1023-4a33-a82e-1c9b6329cb2c,VFD Drives Manufacturing Plant Layout,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/revit/vfd-drives-manufacturing-plant-layout,,,,New,High,Budget: $68Avg Bid,,2026-07-10T13:35:33.803962
047bb0c2-12dc-4605-8a68-d09af1e326da,E-commerce SEO For Sales Growth and  Ai optimization,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/data-analysis/commerce-seo-for-sales-growth,,,,New,High,Budget: $63Avg Bid,,2026-07-10T13:35:33.804599
577fd5bb-a634-4e4d-a583-0dbfa0c1b20b,iPhone App Promotional Review Writing,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/content-writing/iphone-app-promotional-review-writing,,,,New,High,Budget: $21Avg Bid,,2026-07-10T13:35:33.805230
efbb8c3f-4f8b-4832-994e-26b181241066,Add Components to SolidWorks Drawing,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/3d-cad/add-components-solidworks-drawing,,,,New,High,Budget: $21Avg Bid,,2026-07-10T13:35:33.805860
b67d6587-1d5d-4f2c-9a10-b9b5671f4971,Family Photo Lighting Correction,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/graphic-design/family-photo-lighting-correction,,,,New,High,Budget: $10 - $30,,2026-07-10T13:35:33.806466
d8a5cc09-f672-4c93-a846-d0e90f93c9b1,Social media marketing and Sales Marketing,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/customer-service/social-media-marketing-sales-marketing,,,,New,High,Budget: $9 / hrAvg Bid,,2026-07-10T13:35:33.807098
48b7a13b-3aa4-4f3c-9c41-567f8f408b76,Online Form Text Entry,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/data-entry/online-form-text-entry,,,,New,High,Budget: $419Avg Bid,,2026-07-10T13:35:33.807613
e8cd0574-d005-4f89-a477-879ff61b28a3,NC Structural Plans Stamping,,,,,Remote,Restaurants,Freelancer,https://www.freelancer.com/projects/engineering-drawing/structural-plans-stamping,,,,New,High,Budget: $280Avg Bid,,2026-07-10T13:35:33.808276
